name,pack,price,length,sheath_color,shield_type,outer_sheath_material
"7m F/UTP LSZH/FRNC, Cat5e Cable Assembly Grey",Each,PHP606.99,7m,Grey,F/UTP,LSZH
"500mm SF/UTP, PUR Cat5e Cable Assembly Blue",Each,"PHP4,536.51",500mm,Blue,SF/UTP,PUR
"2m SF/UTP, PUR Cat5e Cable Assembly Blue",Each,"PHP5,791.05",2m,Blue,SF/UTP,PUR
Patch Cord 50 ft. 24 AWG Unshielded Twisted Pair Booted Grey,Each,PHP979.64,-,-,-,-
Cord 3 ft. 24 AWG Solid - Double Shielded Non Booted Beige EIA Approved,Each,"PHP1,469.84",-,-,-,-
"Cord, Patch 7 ft. Cat 5e Non Booted UL Listed",Each,PHP144.40,-,-,-,-
Box White Surface Mount Single For CAT 5E cable,Each,PHP427.12,-,-,-,-
Patch Cord 10 ft. CAT 5E Red,Each,PHP193.80,-,-,-,-
Patch Cord 25 ft. 5E Shielded Non Booted UL Listed,Each,"PHP5,017.52",-,-,-,-
Cable 7 ft. Patch Blue,Each,PHP144.40,-,-,-,-
"Cord, Patch 3 ft. Cat 5e Non Booted Black UL Listed",Each,PHP82.84,-,-,-,-
"Cable, Patch 14 ft. 24 AWG Unshielded Twisted Pair Booted Black UL Listed",Each,PHP323.76,-,-,-,-
"Industrial Grade Category 5E Shielded Patch Cord, 50.0 ft, non booted, UL listed",Each,"PHP7,239.00",-,-,-,-
"Cable, Patch 25 ft. 24 AWG Unshielded Twisted Pair Booted Green UL Listed",Each,PHP554.80,-,-,-,-
"DOUBLE SHIELDED CAT. 5E LSZH PATCH CABLE, RJ45/RJ45 50.0FT",Each,"PHP7,642.56",-,-,-,-
Cord 5 ft. 24 AWG Solid - Double Shielded Non Booted Beige EIA Approved,Each,"PHP1,792.08",-,-,-,-
Patch Cord 25 ft. 24 AWG Unshielded Twisted Pair Booted Yellow,Each,PHP554.80,-,-,-,-
Patch Cord 3 ft. 24 AWG Unshielded Twisted Pair Booted Green,Each,PHP118.56,-,-,-,-
"CABLE, MOLDED, CAT 5E WITH LOW PROFILE, 5FT. YELLOW Booted",Each,PHP152.00,-,-,-,-
"Cord, Patch 25 ft. Cat 5e Non Booted UL Listed",Each,PHP433.20,-,-,-,-
"Cable, Patch 50 ft. 24 AWG Unshielded Twisted Pair Booted Blue UL Listed",Each,PHP979.64,-,-,-,-
Patch Cord 7 ft. 24 AWG Unshielded Twisted Pair Non Booted Blue UL Listed,Each,PHP183.16,-,-,-,-
"Cable, Patch 3 ft. 24 AWG Unshielded Twisted Pair Booted Yellow UL Listed",Each,PHP118.56,-,-,-,-
"Cable, Patch 7 ft. Cat 5e Non Booted Yellow UL Listed",Each,PHP183.16,-,-,-,-
"Cable, Patch 25 ft. Cat 5e Non Booted Blue UL Listed",Each,PHP509.96,-,-,-,-
"Cord, Patch 3 ft. Cat 5e Non Booted UL Listed",Each,PHP82.84,-,-,-,-
"Cord, Patch 15 ft. Cat 5e Non Booted UL Listed",Each,PHP269.04,-,-,-,-
"Cable, Patch 3 ft. Cat 5e Non Booted Red UL Listed",Each,PHP108.68,-,-,-,-
Patch Cord 25 Ft cat 5E Black,Each,PHP433.20,-,-,-,-
"Cable, Patch 50 ft. 24 AWG Unshielded Twisted Pair Booted Green UL Listed",Each,PHP979.64,-,-,-,-
Patch Cord 14 ft. 24 AWG Unshielded Twisted Pair Non Booted Green,Each,PHP312.36,-,-,-,-
"Cord, Patch 15 ft. Cat 5e Non Booted UL Listed",Each,PHP269.04,-,-,-,-
"Cord, Patch 10 ft. Cat 5e Non Booted UL Listed",Each,PHP193.80,-,-,-,-
"Cord, Patch 25 ft. Cat 5e Non Booted UL Listed",Each,PHP433.20,-,-,-,-
Patch Cord 50 ft. 24 AWG Unshielded Twisted Pair Non Booted Blue,Each,PHP960.64,-,-,-,-
Patch Cord 5 ft. CAT 5E Gray,Each,PHP110.20,-,-,-,-
"CABLE, MOLDED, CAT 5E WITH LOW PROFILE, 5FT. GREY booted",Each,PHP152.00,-,-,-,-
Patch Cord 14 ft. 24 AWG Unshielded Twisted Pair Booted Blue,Each,PHP323.76,-,-,-,-
"CABLE, MOLDED, CAT 5E WITH LOW PROFILE, 5FT. GREEN BOOTED",Each,PHP152.00,-,-,-,-
"Cable, Patch 3 ft. 24 AWG Unshielded Twisted Pair Booted Gray UL Listed",Each,PHP118.56,-,-,-,-
"DOUBLE SHIELDED CAT. 5E LSZH PATCH CABLE, RJ45/RJ45 5.0FT",Each,"PHP1,843.00",-,-,-,-
Patch Cord 14 ft. 24 AWG Unshielded Twisted Pair Booted Grey,Each,PHP323.76,-,-,-,-
"Cord, Patch 15 ft Cat5e Booted UL Listed",Each,PHP269.04,-,-,-,-
Patch Panel 12,Each,"PHP4,501.48",-,-,-,-
Patch Cord 10 ft. CAT 5E Black,Each,PHP193.80,-,-,-,-
"CABLE, MOLDED, CAT 5E WITH LOW PROFILE, 25FT. ORANGE booted",Each,PHP554.80,-,-,-,-
Patch Cord 14 ft. 24 AWG Unshielded Twisted Pair Booted White UL Listed,Each,PHP323.76,-,-,-,-
"Patch Cord 7 ft. 24 AWG Unshielded Twisted Pair Booted, Blue",Each,PHP191.52,-,-,-,-
"Cord, patch 25 ft Cat5e Booted UL Listed",Each,PHP433.20,-,-,-,-
"DOUBLE SHIELDED CAT. 5E LSZH PATCH CABLE, RJ45/RJ45 15.0FT",Each,"PHP3,555.28",-,-,-,-
"Cable, Patch 14 ft. 24 AWG Unshielded Twisted Pair Booted Yellow",Each,PHP323.76,-,-,-,-
"Cord, Patch 10 ft. Cat 5e Non Booted UL Listed",Each,PHP193.80,-,-,-,-
25' CAT5E SNAGLESS PATCH CORD-RED,Each,PHP433.20,-,-,-,-
Cord 7 ft. 24 AWG Solid - Double Shielded Non Booted Beige EIA Approved,Each,"PHP2,115.84",-,-,-,-
"Cable, Patch 7 ft. 24 AWG Unshielded Twisted Pair Booted Black UL Listed",Each,PHP191.52,-,-,-,-
"CABLE, MOLDED, CAT 5E WITH LOW PROFILE, 5FT. BLACK Booted",Each,PHP152.00,-,-,-,-
"Cable, Patch 50 ft. Cat 5e Non Booted Green UL Listed",Each,PHP960.64,-,-,-,-
"Cable, Patch 7 ft. Cat 5e Non Booted Green UL Listed",Each,PHP183.16,-,-,-,-
"Patch Cord 25 ft. 24 AWG Unshielded Twisted Pair Booted, Red",Each,PHP554.80,-,-,-,-
"Cable, Patch 7 ft. Cat 5e Non Booted White UL Listed",Each,PHP191.52,-,-,-,-
"Shielded Cat. 5E EIA568 Patch Cable, RJ45 / RJ45, 3.0 ft",Each,PHP815.48,-,-,-,-
"DOUBLE SHIELDED CAT. 5E LSZH PATCH CABLE, RJ45/RJ45 1.0FT",Each,"PHP1,157.48",-,-,-,-
"Cable, Patch 25 ft. Cat 5e Non Booted White UL Listed",Each,PHP509.96,-,-,-,-
Patch Cord 7 ft. 24 AWG Unshielded Twisted Pair Booted Gray UL Listed,Each,PHP191.52,-,-,-,-
"Cable, Patch 50 ft. Cat 5e Non Booted Black UL Listed",Each,PHP960.64,-,-,-,-
"Cable, Patch 7 ft. Cat 5e Non Booted Gray UL Listed",Each,PHP183.16,-,-,-,-
"Cord, Patch 7 ft. Cat 5e Non Booted UL Listed",Each,PHP144.40,-,-,-,-
"Cord, Patch 15 ft. Cat 5e Non Booted UL Listed",Each,PHP269.04,-,-,-,-
"CABLE, MOLDED, CAT 5E WITH LOW PROFILE, 5FT. BLUE BOOTED",Each,PHP152.00,-,-,-,-
Patch Cord 7 ft. 24 AWG Unshielded Twisted Pair Booted Red UL Listed,Each,PHP191.52,-,-,-,-
Snagless CAT5E Crossover Cables yellow 15Ft,Each,PHP393.68,-,-,-,-
Patch Cord 25 ft. 24 AWG Unshielded Twisted Pair Booted Grey,Each,PHP554.80,-,-,-,-
"Cable, Patch 7 ft. Cat 5e Non Booted Red UL Listed",Each,PHP183.16,-,-,-,-
Patch Cord 3 ft. 24 AWG Unshielded Twisted Pair Non Booted Green,Each,PHP108.68,-,-,-,-
"Cord, Patch 15 ft. Cat 5e Non Booted UL Listed",Each,PHP269.04,-,-,-,-
Patch Cord 50 ft. 24 AWG Unshielded Twisted Pair Booted White UL Listed,Each,PHP979.64,-,-,-,-
10' CAT5E SNAGLESS PATCH CORD-BLUE,Each,PHP193.80,-,-,-,-
Cable 3 ft. Patch Blue,Each,PHP82.84,-,-,-,-
"Cable, Patch 50 ft. 24 AWG Unshielded Twisted Pair Booted Black UL Listed",Each,PHP979.64,-,-,-,-
"Cable, Patch 50 ft. Cat 5e Non Booted White UL Listed",Each,PHP960.64,-,-,-,-
